416,64000016,6400038,高雄市,那瑪夏區
417,64000017,6400037,高雄市,桃源區
418,64000018,6400033,高雄市,甲仙區
419,64000019,6400032,高雄市,六龜區
420,64000020,6400034,高雄市,杉林區
421,64000021,6400035,高雄市,內門區
422,64000022,6400036,高雄市,茂林區
423,64000023,6400031,高雄市,美濃區
424,64000024,6400025,高雄市,湖內區
425,64000025,6400026,高雄市,茄萣區
426,64000026,6400030,高雄市,旗山區
427,64000027,6400023,高雄市,阿蓮區
428,64000028,6400022,高雄市,田寮區
429,64000029,6400024,高雄市,路竹區
430,64000030,6400027,高雄市,永安區
431,64000031,6400019,高雄市,岡山區
432,64000032,6400021,高雄市,燕巢區
433,64000033,6400028,高雄市,彌陀區
434,64000034,6400020,高雄市,橋頭區
435,64000035,6400029,高雄市,梓官區
436,64000036,6400016,高雄市,大社區
437,64000037,6400015,高雄市,大樹區
438,64000038,6400017,高雄市,仁武區
439,64000039,6400018,高雄市,鳥松區
440,64000040,6400012,高雄市,鳳山區
441,64000041,6400014,高雄市,大寮區
442,64000042,6400013,高雄市,林園區
443,64000001,6400004,高雄市,楠梓區
444,64000002,6400003,高雄市,左營區
445,64000003,6400005,高雄市,三民區
446,64000004,6400002,高雄市,鼓山區
447,64000005,6400006,高雄市,新興區
448,64000006,6400007,高雄市,前金區
449,64000007,6400001,高雄市,鹽埕區
450,64000008,6400008,高雄市,苓雅區
451,64000009,6400002,高雄市(海),鼓山區(海)
452,64000010,6400009,高雄市,前鎮區
454,64000011,6400009,高雄市(海),前鎮區(海)
455,64000012,6400010,高雄市(海),旗津區(海)
456,64000013,6400010,高雄市,旗津區
457,64000014,6400011,高雄市,小港區
458,64000015,6400011,高雄市(海),小港區(海)
